Index,Composition,bandgap,spgN
140,Sr4 U8 Se20,0.0026999999999999247,62
141,K2 P2 H24 Pt2 C4 N4 Cl4 O8,2.5140000000000002,2
142,H64 S4 N24 O40,3.0914,14
143,Na16 Y6 Si24 O72,0.0,167
144,H18 C2 N18,2.008,2
145,Sr2 Li4 Al8 P8 O40,0.0,72
146,K8 As8 O8 F40,1.1816999999999998,62
147,Cu20 Si16 O56,0.0,61
148,Cd4 H56 C32 N8 O24,3.4231000000000003,60
149,Sm12 Sb16 S36,0.0,62
150,P16 H216 C80 N32 Cl8,3.7150999999999996,61
151,V4 H96 C32 N16,1.7011,2
152,Sr2 Pr1 Nb1 O6,2.8827999999999996,225
153,Tm2 Sn2 Pt4,0.0,194
154,Sm2 P2 Os4 C2,0.0,63
155,Sm4 Ta4 O18,0.30210000000000004,14
156,Rb4 Tm4 S8 O36,1.0147,14
157,Rb4 Lu4 S8 O36,0.9989,14
158,Ni2 H40 C8 N20 O24,3.4286000000000003,14
159,Mg4 Si8 O22,0.0,12
160,La4 Mo4 O20,2.3364000000000003,14
161,C12 S8 O8 F16,3.549,14
162,Ce14 Pt6,0.0,186
163,Ag2 Bi4 W2 O16,0.16700000000000026,12
164,Zr1 U1 Al4,0.0,216
165,Zr2 Cr2 Cu2,0.0,74
166,V1 Ni3,0.0,123
167,V4 W1 C5,0.0,166
168,U2 As1 Se1,0.0,123
169,U3 Al3 Co1 Rh2,0.0,6
170,Ti3 N4,0.0,139
171,Ti4 Fe2 B4 Ru4 Rh6,0.0,55
172,Tc1 Ni1,0.0,187
173,Ti4 H2 C2 Se8 Cl32 O10,0.23050000000000004,7
174,Tb2 Fe17 N2,0.0,12
175,Sr2 Ca4 Yb20 O36,0.0,1
176,Sm1 Bi1 Te3,0.9844999999999997,160
177,Nb3 Co8 Si1,0.0,156
178,Nb18 Fe6 Ge4,0.0,69
179,Na1 Fe3 O4,0.0,160
180,La4 Sb1 Te7,0.0,115
181,K1 Ti1 O2 F1,0.8782999999999999,123
182,K1 Na1 Ca3 Mg10 Si16 O48,3.2702999999999998,1
183,In1 As4 Pd15,0.0,166
184,H15 Se3 N3 O12,3.4286,1
185,Er1 Ga6 Fe6,0.0,69
186,Dy4 Fe1 S7,0.15909999999999958,8
187,Er4 Fe2 Sb2 O14,1.5271,74
188,K8 In18 Si28,0.12840000000000007,40
189,Cr2 In2 Co2 S8,0.0,74
190,Co1 Rh2 O6,0.0,2
191,Ce1 Mn7 Ni5,0.0,44
192,Ca1 Y1,0.0,65
193,Ca1 Mn1 V4 Cu2 O12,0.0,71
194,Be46 Ru7,0.0,156
195,Al2 Cu1,0.0,123
196,S12 Pr2 Tb2 Yb4,1.2724000000000002,11
197,Fe1,0.0,225
198,O14 Sb4 Pt4,0.5643000000000002,227
199,In2 Sb2,0.0,63
200,S24 Fe21,0.022800000000000153,144
201,H16 N4 O8 Se2,3.6061,12
202,H32 N16 O24,3.2767,56
203,H40 N16 F8,5.4604,19
204,H44 B20 N8,3.8592999999999997,15
205,Li2 Ge1 Pd1,0.03400000000000025,225
206,Al3 Dy1,0.0,139
207,O48 P12 Mo9,1.1783,1
208,Ni4 P8 O28,0.0,14
209,Rb4 Na2 Mn2 C12 N12,0.0,14
210,Si4 O8,4.8294,98
211,Li8 I8 O24,3.5575,86
212,Sn10 W16 O46,1.7194999999999996,176
213,Ag4 C4 S4 N4,2.2796999999999996,58
214,Cd2 Fe1 C6 N6,2.609,147
215,Ta2 Si4 H70 C24 N8,3.2977,2
216,Fe4 H4 C8 O12,1.8730999999999998,14
217,V12 H24 C4 N4 O28,1.9649,14
218,P8 H24 O24,4.1531,7
219,Ru4 C12 Se4 O12,2.1874,217
220,Ce1 Bi1,0.0,221
221,Fe8 Si8 Ge8,0.4379999999999997,64
222,K8 Co14 O28,0.0,176
223,Sb16 Se80 F96,0.023900000000000005,14
224,Y20 Pb16,0.0,1
225,Li6 Nb6 As12,0.0,8
226,Tl54 Sb6 Te36,0.4892000000000003,83
227,Na8 C8 S8 O24 F24,5.8787,1
228,Sr4 Pr4 Mn2 Cu2 O16,0.0,2
229,Na4 H12 C8 O14,2.7221,15
230,Ni2 H32 C4 S6 N12 O14,2.0362999999999998,11
231,Tb1 Zr4 O10,0.0,87
232,Zn1 Re1 O4,0.0,65
233,Li3 Co2 O2 F3,0.0,139
234,Li2 Co2 O4,0.8952,186
235,V4 Co4 O16,0.2600999999999998,62
236,Li3 Cr2 Fe5 O12,0.0,5
237,Rh2 I4,0.0,136
238,Pu2 Si4 Pt4,0.0,129
239,Zr1 Si1 Pt1,1.3297999999999996,216
240,Rb1 Sr3,0.0,225
241,Rb1 Pt1 O3,0.0,221
242,Rb1 Pd1 O3,0.0,221
243,Nd6 Si2,0.0,194
244,Yb3 Ru1,0.0,225
245,Ga3 Au1,0.0,225
246,Al8 As8,0.3385000000000007,205
247,Mn2 Sn2,0.0,194
248,Al10 Cu6 O24,0.0,12
249,Mg2 Ti4 O8,0.0,8
250,Al8 Ni6 O24,0.0,12
251,Ca1 Fe18 O26,0.8056999999999999,1
252,Fe2 F8,1.6229,1
253,Al10 Fe6 O24,1.5019999999999998,12
254,Al4 W6 O24,1.8538000000000001,2
255,Mn4 Al4 O12,0.6812000000000005,62
256,Ca4 Sb2 W2 O12,0.8145999999999995,11
257,Ti4 Zn6 Si8 O28,0.06669999999999998,15
258,Ca8 Ti16 O32,0.0,8
259,La1,0.0,229
260,Ca12 Mn16 O32,0.4100999999999999,7
261,Al3 V1,0.0,221
262,W2 C1,0.0,164
263,Li1 Mn1 As1,0.0,216
264,Ta1 Co1,0.0,221
265,Li12 Cr8 Ge12 O48,0.019400000000000084,230
266,Sr1 Ir1 O3,0.0,221
267,Mg6 Bi1 Sb1,0.0,38
268,Na1 Sr1 Mg6,0.0,38
269,Na1 Sr1 Mg6,0.0,38
270,La1 Ce1 Mg6,0.0,38
271,Cr1 Ni1 Sb1,0.0,216
272,Eu2 O4,0.0,129
273,Na4 Cl2,0.0,123
274,Re2 N4,0.0,13
275,Ca4 Si2 O8,4.1723,164
276,Sr4 S3 O1,2.1146000000000003,221
277,Ba1 Li1 Mg6,0.0,38
278,Li1 Mg6 Ti1,0.0,38
279,Li1 Mg6 Ti1,0.0,38
280,La1 Mg6 Sn1,0.0,38
281,Cs1 Na1 I1 Cl1,3.8426,123
282,Mg6 Cd1 Co1,0.0,38
283,Li1 Mg6 Co1,0.0,38
284,Mg6 Co1 B1,0.0,38
285,Na1 Mg6 Cu1,0.0,38
286,Na1 Mg6 Cu1,0.0,38
287,La1 Mg6 Cu1,0.0,38
288,Hf1 Mg6 Zn1,0.0,38
289,Mg6 Ti1 Zn1,0.0,38
290,Mg6 Zn1 Si1,0.0,38
291,Ce1 Mg6 Zn1,0.0,38
292,Ca1 La1 Mg6,0.0,38
293,Ca1 La1 Mg6,0.0,38
294,Ca1 Mg6 Sn1,0.0,38
295,Mg6 Al1 Si1,0.0,38
296,Ba1 Mg6 Al1,0.0,38
297,Mg6 Zr1 Al1,0.0,38
298,U2 W2 C3,0.0,12
299,Dy2 In2 Pt4,0.0,194
300,K1 Na1 Mg14,0.0,187
301,Mg14 Ti1 Cr1,0.0,187
302,Mg14 Bi1 Mo1,0.0,38
303,Hf1 Mg14 Mo1,0.0,38
304,Ba1 Mg14 Sb1,0.0,38
305,Ba1 Sr1 Mg14,0.0,38
306,Mg14 Cr1 Si1,0.0,38
307,Ba1 Mg14 Si1,0.0,38
308,Ce1 Mg14 Cr1,0.0,187
309,La1 Mg14 Bi1,0.0,187
310,La1 Mg14 Nb1,0.0,38
311,K1 Sr1 Mg14,0.0,187
312,Rb1 Li1 Mg14,0.0,38
313,Mg14 Cu1 Mo1,0.0,187
