Index,Composition,bandgap,spgN
16693,La4 S7,0.0,121
16694,La1 Ho4 C10,0.0,12
16695,K1 Ce1 Ti2 O6,0.11260000000000048,225
16696,K8 Sb2 Te1,0.0,119
16697,In1 Ga1 N2,0.2290000000000001,156
16698,In1 Bi3,0.0,21
16699,Hg6 S4 Cl4,0.5791,26
16700,Hf1 Ti1 Mo4,0.0,216
16701,Hf4 Si2 Mo6,0.0,194
16702,Hf16 Mo10 S2,0.0,6
16703,Fe2 Co1 Se4,0.0,8
16704,Fe2 Ni1 Se4,0.0,8
16705,Fe2 Re4 O12,0.0,136
16706,Hf12 Ga15 Ni9,0.0,1
16707,Ga2 P2 H22 C6 Cl2,4.9661,2
16708,Ga2 Fe1 Ni9,0.0,123
16709,Er1 Th1 C1 N1,0.0,123
16710,Er2 Ge2 Pd2,0.0,12
16711,Co1 Rh1,0.0,166
16712,Eu2 Ga4 Ge8,0.0,63
16713,Cu7 Te2 S2 O20,0.0,2
16714,Cr2 Co2 Si4,0.0,4
16715,Cr3 Fe3 Ge1 As2,0.0,189
16716,Co2 Pd1,0.0,164
16717,Ce1 Zr4 O10,1.7954999999999997,139
16718,Ce1 Si1 B1 Rh3,0.0,187
16719,Ce1 Al4 Cu2 Si1,0.0,25
16720,Cd1 Pb1 S2,1.0928999999999993,166
16721,Ce2 Si3,0.0,44
16722,Ce4 Sn1 O10,1.4772000000000007,166
16723,Ce1 Mn8 Fe4,0.0,139
16724,Ca1 Mn2 Te3,0.0,164
16725,Ce4 Ge7,0.0,25
16726,Ba1 Sr1 Pd1 O2 F2,0.0,107
16727,Ca4 Al2 Pb2 O2 F16,1.8306,1
16728,Ba1 Sr6 Fe3 Bi3 O16,0.0,107
16729,Ga8 As16 H102 C32 S36 O3,2.5993,1
16730,Ba2 Y2 Co3 Cu1 O10,0.0,107
16731,B4 Mo1 Ru2,0.0,71
16732,As1 P1,0.23350000000000026,160
16733,Al16 Si2 O28,3.1752,26
16734,Al4 Ni6,0.0,123
16735,Ba8 Sr4 Ir12 O36,0.0,187
16736,Bi14 Pb4 Cl8 O21,0.5838999999999999,8
16737,Gd8 Mg4 S16,1.4712,62
16738,Si2 Sr4,0.0,194
16739,C2 Ho1,0.0,139
16740,C2 Er1,0.0,139
16741,O12 Rb4,0.8712,14
16742,C6 Fe14,0.0,186
16743,C12 N12 O12 K4 Hg4,3.2554,62
16744,Al34 Si8 Pd16,0.013799999999999812,88
16745,O12 Sr4 Cd2 W2,3.5122,59
16746,La1 Mn1 O3,0.0,221
16747,O15 V5 Ba5,0.0,164
16748,Al16 Cr10,0.0,160
16749,O12 Ru4 Pr4,0.0,62
16750,Cr4 As2,0.0,129
16751,Cu6 Sb2,0.0,59
16752,Mn1 Sn1 Au1,0.0030999999999998806,216
16753,Co2 Ge2 Np1,0.0,139
16754,O3 Na1,0.5780000000000001,44
16755,K1 Cl1,4.8004999999999995,221
16756,O6 Co2 Ba1 Pr1,0.17090000000000005,123
16757,O8 P2 Ni2,0.0,63
16758,H40 N4 O28 Co2 Se4,2.7533999999999996,14
16759,Cu2 P2 O8,0.05339999999999989,43
16760,O20 P6 Sn4,0.0,11
16761,F21 As3 Sn3,3.3358000000000003,155
16762,H24 B12 N12,5.2948,96
16763,Fe1 P2 O7,0.0,5
16764,O8 Na4 Mn2,0.0,186
16765,W2 Cl4 O4,1.788,26
16766,H11 O8,0.9497999999999998,1
16767,Fe7 O8,0.0,166
16768,Cu2 Mn4 O8,0.02179999999999982,74
16769,Ce1 F1 O1,0.0,216
16770,O14 Sn4 Ta4,1.4851999999999999,227
16771,F4 O2 Ti2,1.8523,131
16772,O24 Cu4 Nb8,0.27600000000000025,60
16773,O20 Si2 Fe14,0.09240000000000048,11
16774,Mn1 Pd2 Ge1,0.0,225
16775,Ba16 Bi16 O45,0.03340000000000032,25
16776,Se13 Cu7 As6,0.0,146
16777,Ba6 Ir4 Y2 O18,0.017700000000000493,186
16778,Pb5 I2 F8,2.9883999999999995,160
16779,K2 P2 N6 C4 S4 O6 H10,3.4045,2
16780,Ba6 Co25 S27,0.034399999999999764,221
16781,Cr6 Ni16 Si7,0.0,225
16782,La4 Ni1 O8,0.8567,65
16783,Al4 Se4 S8 N8 Cl20,2.2479,14
16784,Ti3 H24 C12 N3 O30,0.018899999999999917,181
16785,Ti3 H24 C12 N3 O30,0.022900000000000142,180
16786,P24 S24 N48 F40,2.1283000000000003,61
16787,Rb4 Cr4 Cl4 O12,2.8083,14
16788,Sb12 C8 N4 O8 F64,3.9607,14
16789,Mo4 P4 Cl24 O8,2.6452,14
16790,Yb4 Hg24 As16 Br28,0.0,205
16791,Mg41 Al67,0.0,221
16792,Hg4 I7,0.0,115
16793,Cd2 Os1 C6 N6,2.5374,147
16794,Cu4 Mo6 Se8,0.0,2
16795,Tm1 B6,0.0,221
16796,Bi3 P2 O10,0.0,1
16797,Ce1 In7 Pt2,0.0,1
16798,S10 Co2 Ba2 Nd4,0.0,140
16799,Yb12 Si8 Cl4 O32,0.0,62
16800,V1 Cu1 O3,0.8024,1
16801,Ba4 Tl2 Cu2 Hg2 O10,0.0,107
16802,Al8 H24 O24,4.574,7
16803,U2 H4 O8,1.6722999999999995,64
16804,Cs4 Zn4 Ag4 C16 S16 N16,2.9114,14
16805,O8 Ni2 Rh4,0.0,141
16806,Ce12 Mo4 O28,0.28080000000000016,19
16807,Fe8 Ge16,0.0,64
16808,Tb1 H3 C3 O6,3.9948,160
16809,Li2 Nb2 P4 O16,2.2718000000000003,4
16810,Cu18 Se10,0.0,2
16811,Nd16 Zr16 O49,0.0,1
16812,La1 Zr9 O20,0.0,1
16813,Cd2 In4 O8,0.000700000000000145,74
16814,Fe1 Cu5 S4,0.0,6
16815,In4 H12 O12,1.9485999999999999,1
16816,Na4 Zr8 S4 N8 Cl4,1.8890000000000002,14
16817,Rb12 Ti6 Ge18 O54,2.7546,165
16818,K24 Co8 C48 N48,4.134399999999999,60
16819,K24 Co8 C48 N48,3.8399,30
16820,W4 C2,0.0,58
16821,Ce4 Nd4 O14,1.6430000000000002,51
16822,Ba6 Fe14 Cu11 S27,0.0,1
16823,C12 O12 F24 Sb4 Os2,4.6347000000000005,128
16824,Y2 Al9 Si27 N45 O3,2.4673,1
16825,H8 S24 N8,2.7266,62
16826,Na2 P2 H10 C4 S2 N6 O8,3.5376,2
16827,Li2 Fe4 P6 O24,0.0,9
16828,Mn4 P6 O20,0.0,15
16829,Sn1 H24 C6 N2 O2 F6,4.7044,12
16830,K4 Mn2 H16 S4 O23,3.4,1
16831,Mn16 O48 Si16,2.4641,88
16832,Fe9 P8 O32,1.6058000000000001,2
16833,Cr4 P8 O28,0.6234,14
16834,Rb8 W13 O43,1.8216,1
16835,H16 S48 N16,2.8601,61
16836,As4 H24 N4 O16,3.6288,19
16837,H52 C12 N4 F16,7.284,2
16838,V16 O36,0.8147,63
16839,Zn4 P8 H24 O20,4.7801,14
16840,Be4 P4 O14,6.028600000000001,15
16841,Ba4 Sr4 I16,3.1007,60
16842,Sr2 La4 O8,2.7904,63
16843,Tb8 Ca4 O16,3.6321000000000003,62
16844,Ti2 Ga4 O10,2.2972,15
16845,Li1 Ti1 P2 O7,0.0,5
16846,Ba2 Ca2 I8,3.5645,36
16847,Y2 Bi2 O7,0.12360000000000015,12
16848,Ca3 P2 O8,4.5074,5
16849,K3 H8 Rh1 C4 Cl2 O12,2.1421,12
16850,Li2 Bi6 O12,0.0,148
16851,Ba1 La2 I8,2.1541,12
16852,Ca2 Sm4 O8,3.8425000000000002,141
16853,Al8 O12,4.369999999999999,14
16854,Na4 Ti8 O12,0.0,193
16855,Er2 Te1 O2,0.4964000000000004,164
16856,Sr2 La2 Cl10,3.4172000000000002,11
16857,Li5 Nb2 Cu3 O10,0.37529999999999974,2
16858,Tb2 Nb2 O8,3.9277,141
16859,Zr8 N8 O4,2.0128999999999997,1
16860,Mg2 Ag4 O8,0.6908999999999998,12
16861,Tb2 K4 O6,0.0,36
16862,Ti3 Nb1 Cu3 O12,0.0,148
16863,Li8 Cu4 Si6 O20,0.33009999999999984,15
16864,Li4 Ti4 P8 O28,0.1665000000000001,1
16865,Li4 Sn4 P4 O16,2.7596,2
16866,Li4 Cu4 P4 O16,0.3805999999999998,14
16867,Li12 Ti4 P8 O32,0.22889999999999944,14
16868,Li4 Ti3 Cu3 Te2 O16,0.0,8
16869,Li8 Cu4 Si4 O16,0.0,33
16870,Fe2 B36 H64 C16 S4,2.0282999999999998,18
16871,Li4 Bi4 P8 O28,3.3655,14
16872,Li2 Sb4 P6 O22,3.4431000000000003,5
16873,Li12 Ag8 F20,1.5188,1
16874,Sb20 O28 F4,2.662,73
16875,Li6 Sb6 P8 O32,3.1045000000000003,2
16876,Li4 Bi2 P10 O30,4.3121,9
16877,Ag2 B2 H16 C8 N16 F8,3.7801,2
16878,Li8 Ag16 F40,0.0,1
16879,Li2 Cu2 C2 O6,1.8629000000000002,2
16880,Li4 Ag2 F6,2.127,12
16881,Li2 Ti4 O8,0.0,74
16882,Li10 Cu6 F28,0.31509999999999994,128
16883,Li3 Cu3 P2 O8,1.0093999999999994,1
16884,Mn5 O8,0.0,166
16885,Mn2 Fe2 O8,0.0,13
16886,Li2 Mn2 Si4 O12,1.4971999999999999,15
16887,Li8 V8 P8 O32,2.3663000000000003,14
16888,Ni5 Sb1 P6 O24,0.0,146
16889,Li8 V8 P8 O40,1.4729,33
16890,Li6 Cr2 P4 O16,2.6906999999999996,11
16891,Li12 Mn12 P12 O48,2.9723,181
16892,Li4 Mn4 P4 O16,3.0053000000000005,33
16893,Li5 V1 Si2 O8,0.21829999999999972,5
16894,Li4 Co5 Sb1 O12,0.0,12
16895,Li12 Si18 Ni12 O54,3.2407999999999997,145
16896,Cr3 Co3 Te2 O16,0.0,8
16897,Li7 Fe3 Si2 O12,1.6582,12
16898,Li3 Co11 O14,0.0,1
16899,Li8 Co8 P8 O36,0.5110999999999999,11
16900,Li4 Ti2 V3 Co3 O16,1.3842000000000003,1
16901,Li2 Co2 P2 O9,1.0645,2
16902,Li4 Co1 Sn3 P4 O16,1.8892999999999995,6
16903,Li4 V4 P16 O48,2.5338000000000003,20
16904,Li4 Fe4 C8 O24,1.4698,14
16905,Li6 Fe3 Sb1 P6 O24,1.3198000000000003,1
16906,Li6 Ti3 Cr1 P6 O24,0.053600000000000314,1
16907,Li8 Fe8 Si12 O36,2.7423,62
16908,Li8 Fe8 Si12 O36,3.0875,62
16909,Li8 Fe4 Si16 O40,3.1715,11
16910,Li4 Fe4 Si4 O16,1.8731,19
16911,V1 Te4 O12,1.0232,1
16912,Li4 Fe4 Si4 O16,2.3802000000000003,33
16913,Li6 Cr8 P4 O16 F18,2.4033,11
16914,Li5 Mn4 P4 O16 F1,3.5293,82
16915,Li4 Fe2 Si8 O22,0.0,87
16916,Li5 Fe4 P4 O16 F1,3.7324,82
16917,Li4 V1 F7,0.0,216
16918,Li6 Co4 C8 O24,0.7120000000000001,4
16919,Li12 Co12 Si12 O48,1.2292999999999998,181
16920,Li2 Fe6 O12,0.0,70
16921,Fe8 O10 F6,0.09339999999999993,63
16922,Fe4 O3 F5,1.5695,8
16923,Fe8 O12 F4,0.0,6
16924,Fe8 O8 F8,0.4344999999999999,6
16925,Li4 Co3 Cu3 W2 O16,0.0,1
16926,Mn12 O14 F10,0.0,1
16927,Mn6 O8 F4,0.08700000000000019,1
16928,Li32 Co8 O32,0.9803999999999999,7
16929,Li8 Co8 P8 O32 F8,0.3943000000000001,7
16930,V1 C2 O6,1.3027,148
16931,Li2 Fe2 C4 O12,2.2938,9
16932,Li4 V8 P12 O48,0.6586000000000001,57
16933,Li4 V16 P12 O48,2.6747000000000005,62
16934,Li6 P6 W2 O22,3.9678,2
16935,Li3 Co3 Si3 O12,1.3321,181
16936,Li2 V2 C4 O12,2.4047,4
16937,Li2 Mn3 Ni1 O8,0.4867999999999997,12
16938,Li4 Mn4 P12 O36,3.6891000000000003,57
16939,Li4 Mn4 P4 O16,3.1127000000000002,2
16940,Li12 Mn6 Si12 O36,2.7600000000000002,31
16941,Li2 Mn2 P4 O14,1.4548999999999999,2
16942,Li6 Mn17 O40,0.0,8
16943,Li10 Mn2 O6 F2,0.3656999999999999,12
16944,Na6 Li2 Mn2 B2 P2 O14,2.4324000000000003,11
16945,Li8 Mn8 O8 F16,0.41279999999999994,7
16946,Co6 O5 F7,0.0,38
16947,Li4 Ti3 Fe3 Cu2 O16,0.0,1
16948,Li4 Nb1 Te2 W1 O12,0.0,1
16949,Li10 V5 Cr3 O16,1.1298000000000004,1
16950,Mn12 O10 F14,0.0,1
16951,Li1 Co3 O1 F5,2.4993999999999996,1
16952,Li2 Co4 O2 F6,2.0181,164
16953,Li2 Fe3 Cu1 O8,0.0,160
16954,Li3 Fe10 O7 F9,1.7534,1
16955,Li3 Fe8 B8 O24,1.4035000000000002,1
16956,Mn12 O14 F10,0.0,1
16957,O6 Cs4 Pr2,0.0,36
16958,Co4 O2 F6,0.0,63
16959,Li7 V4 O11 F1,1.0158,1
16960,Li5 Mn2 Cu5 O12,0.0,5
16961,V2 Fe3 Te1 P6 O24,0.0,146
16962,Li3 Ni3 O3 F5,0.2909999999999999,8
16963,Li10 Mn3 Cr5 O16,0.1735000000000002,1
16964,Li1 Mn3 O5 F1,0.0,1
16965,Fe4 O4 F4,1.4470999999999998,1
16966,Li4 Co2 C4 O12,2.1374,43
16967,In2 Fe22 O32,0.0,63
16968,Li12 V4 O4 F24,3.1774,19
16969,Li16 Ti8 Si16 O52,0.1615000000000002,33
16970,Mn2 F8,0.7666,14
16971,Li2 V2 O1 F5,0.7305999999999999,1
16972,Mn6 F16,0.9161000000000001,9
16973,Li8 V8 F32,2.0979,31
16974,Li4 V20 F44,2.2479999999999998,14
16975,Li4 V4 O4 F12,2.4153000000000002,29
16976,V2 O1 F7,2.4200999999999997,1
16977,Li3 V4 O11 F1,1.9947999999999997,1
16978,Li4 Co8 O4 F12,2.2860000000000005,14
16979,V6 O12 F6,1.0682,2
16980,Co3 Te1 O8,0.0,166
16981,Cr1 Co3 O8,0.7265000000000001,166
16982,Li2 Mn2 P2 O8,3.2177000000000002,63
16983,Na4 Co12 O14,0.6032000000000002,3
16984,Li4 Cu4 Si8 O22,0.42120000000000024,2
16985,Ba12 Ca2 I28,3.0236,64
16986,K24 Fe12 O42,0.0,26
16987,Li12 Ni12 P12 O48,3.4791,14
16988,Li4 Ni8 O2 F16,3.3171,1
16989,Li7 Mn11 O24,0.0,12
16990,Cr4 O2 F4,2.0584000000000002,1
16991,Li4 Mn4 O4 F8,2.0584000000000002,2
16992,Li4 V1 Co3 O8,1.4095000000000002,1
16993,Li4 Fe3 Co2 Ni3 O16,0.0,8
16994,Li8 Mn2 O4 F6,2.1618,2
16995,Mn5 O7 F1,0.0,160
16996,Li4 V2 Si2 O8,1.75,31
16997,Li4 Mn8 O10 F6,0.34019999999999984,9
16998,Li4 V4 Si4 O16,2.5999,33
16999,Ni2 P6 O18,0.1716,2
17000,Li4 Mn8 O12 F4,0.0015000000000000568,44
17001,Mn5 Sb1 O12,0.042100000000000026,12
17002,Li6 V1 Cr1 P2 C2 O14,1.9883000000000002,6
17003,Li4 Si4 Ni4 O14,3.2481999999999998,40
17004,Mn5 Si4 O14,0.0,2
17005,Li2 Ni2 P2 O8,3.1167000000000007,74
17006,Li3 Mn2 Fe2 O8,0.3168000000000002,2
17007,Li4 V4 F20,1.9594,33
17008,Li8 V4 Si4 O16,1.6609999999999996,62
17009,Li4 V4 F16,2.3609,14
17010,Li12 Cr4 P8 O32,1.748,1
17011,Li6 Fe6 B8 O24,1.8116999999999999,7
17012,Li4 Mn3 Fe3 Co2 O16,0.0,8
17013,Li2 V4 F14,2.0983,2
17014,Li12 V1 Cr3 P4 C4 O28,1.9836999999999998,6
17015,Li4 Mn2 Ni3 Sb3 O16,0.0,8
17016,Li12 Ni4 P4 C4 O28,3.3762000000000003,14
17017,Li12 Ni4 P4 C4 O28,3.3582,14
17018,Li16 Sb4 S2,1.5898,15
17019,Li12 Sb4 S16,1.4459,62
17020,Ba1 Y2 F8,6.9301,82
17021,Pt2 O6,0.0,167
17022,Li14 Co2 S9,0.5308999999999999,147
17023,Ti3 Bi2 P6 O24,2.3485,146
17024,Sn12 P12 O42,2.4065000000000003,1
17025,Cu6 Re6 O24,0.6761999999999997,2
17026,La4 Al8 O18,3.7105999999999995,55
17027,Ho8 Se12 O36,3.4041,62
17028,Bi6 B14 O24,0.4014999999999995,2
17029,Li4 Bi12 O24,0.0,199
17030,Li12 Nb4 S16,2.0896,62
17031,Ni6 P24,0.0,14
17032,Li8 Sb4 H12 O6 F20,4.648000000000001,11
17033,Li4 Cu4 P4 H8 O20,0.0,14
17034,Dy4 Bi4 O14,0.0,227
17035,Li8 Cu8 Cl20 O2,0.04679999999999995,15
17036,Ag4 H36 O20,2.0934,19
17037,Zr4 Fe4 P12 O48,0.014899999999999997,33
17038,Li8 Ti4 Mn6 Fe8 O36,0.9875000000000003,55
17039,Li4 Cr8 O12,0.8477000000000006,15
17040,Ho2 V2 O7,0.5065999999999997,12
17041,Li4 Cr6 Co2 O16,0.5115000000000001,1
17042,Li2 Mn3 Nb1 O8,0.0,166
17043,Li6 Cr2 B2 P2 O14,3.1695999999999995,11
17044,Li4 Cr1 Fe1 W2 O12,0.7415,1
17045,Mn4 Fe2 O8,0.6438999999999999,141
17046,Li2 Mn2 Al2 O6,1.8152,2
17047,Li12 Ti4 B8 O24,0.2129999999999992,14
17048,Li6 V6 B4 O20,0.6788999999999996,6
17049,Li4 Mn3 V3 Cr2 O16,0.33550000000000013,1
17050,Li4 Mn8 O18,0.2549999999999999,165
17051,Li4 Al4 Cr4 O16,0.6509,62
17052,Li4 Sb4 W4 O24,2.4585000000000004,91
17053,Li4 Zr8 O16,0.0,62
17054,Li5 Mn2 Fe3 O10,0.18659999999999988,2
17055,Li12 La4 Ni4 O16,2.5876,2
17056,V1 Ni5 P6 O24,0.0,146
17057,Li8 Mn8 B16 O40,1.4263,14
17058,Li4 V3 Cr2 Co1 P6 O24,0.5522,1
17059,Na6 Co2 B2 S2 O14,2.0964,11
17060,V2 P4 H3 O16,1.145,1
17061,Li4 Fe8 O16,0.0,95
17062,Li6 V2 Si2 B2 O14,1.5995,11
17063,Li7 Mn3 W2 O16,0.07040000000000002,8
17064,Li4 V4 O8,1.3702,74
17065,Mn1 Sb1 O4,1.3157,10
17066,Li4 Nb1 Cr5 O12,0.9773000000000001,12
17067,Na4 Bi2 B2 P2 O14,0.029200000000000004,11
17068,Tb3 Na6 O9,0.0,2
17069,Li2 Si2 Sb2 C2 O14,3.0742,4
17070,Ba8 La8 Cl40,4.2395000000000005,14
17071,Ba8 La8 I40,2.5826000000000002,14
17072,K2 Li8 Cr2 O10,1.0179,2
17073,Li4 Mn3 Fe5 O16,0.0,8
17074,Li6 V2 S6 O24,0.0,148
17075,Li8 Cr4 B20 O40,2.237,14
17076,Li8 Co8 P8 O32,2.8169,14
17077,Ni2 H16 C4 O20,0.28290000000000015,14
17078,Ti5 V1 P6 O24,0.0,146
17079,Na4 Sn2 B2 As2 O14,1.1457999999999997,11
17080,Li24 Cr4 B12 O36,2.3399,14
17081,Li2 Co3 Te1 O8,0.0,166
17082,K4 Sn2 P2 C2 O14,0.0,11
17083,Ba6 Sr11 I34,3.3618,2
17084,Li4 Mn2 C2 S2 O14,3.9814,11
17085,Li4 V1 Fe3 O8,1.3735000000000002,1
17086,Mn3 Cr5 O16,0.0,8
17087,Li5 Mn2 V3 O10,0.8639999999999994,2
17088,Fe8 O4 F12,1.4065999999999999,65
17089,Na2 V4 O8,0.0,141
17090,Li8 Cr20 O48,0.5972000000000001,60
17091,V12 W8 O48,0.1794,14
17092,Li8 Cr8 Si24 O60,1.5092999999999996,64
17093,Li2 V4 Si4 O16,0.8243,4
17094,Li8 Cr4 P16 O48,3.3655,14
17095,Fe10 O11 F9,0.0,5
17096,Mn1 Ni3 P4 O16,0.0,6
17097,Cr3 Sb1 P4 O16,1.0055000000000005,6
17098,Li4 Ti3 Nb3 V2 O16,0.0,8
17099,Li9 Co2 O8,0.6165,5
17100,Li4 Cr2 Si12 O30,0.7241000000000002,8
17101,Li8 V12 Te4 O32,1.1921,1
17102,Li8 Ti8 Mn8 Fe2 O36,0.0,55
17103,Li5 Mn3 Bi2 P6 O24,0.0,1
17104,Li2 Mn1 V4 Cu1 O12,0.0,5
17105,Al4 Bi4 O12,3.0461,14
17106,Mn3 Cr2 Ni1 P6 O24,0.02090000000000014,146
17107,Li2 Fe4 F18,1.1007000000000002,2
17108,Li4 Ti2 Mn4 O12,1.5566,64
17109,Li3 V2 F9,2.3215000000000003,5
17110,Na20 Bi8 P4 C16 O64,0.15429999999999966,1
17111,Al4 Cu4 O12,0.35000000000000053,14
17112,Li8 Ti4 Fe8 Co6 O36,0.22089999999999987,1
17113,Hf12 N12 O6,2.2156000000000002,15
17114,Na8 B40 H40,4.7322,14
17115,Ba8 Y8 I40,2.7575000000000003,14
17116,Ba12 Y8 I48,2.8015,14
17117,Li2 V4 F14,2.2743,13
17118,Li3 Y1 Ni2 O6,0.0,12
17119,Li2 Fe3 F8,3.0509000000000004,166
17120,Li4 V6 Cu2 O16,0.0,9
17121,Li12 Mn4 F24,1.5801,14
17122,Li4 Cu3 Ni2 Sb3 O16,0.0,8
17123,Fe3 Ni1 Sn2 P6 O24,0.058499999999999996,146
17124,Li8 Fe8 B16 O40,2.0172,14
17125,Li8 Mn8 P16 O56,0.3722000000000001,1
17126,Cd4 Fe4 O12,0.0,62
17127,Ti1 Mn3 Cr2 P6 O24,0.0,146
17128,Na4 Bi8 O16,0.0,62
17129,Li10 Mn3 Cr3 Fe2 O16,1.0297,1
17130,Li8 Fe4 F16,3.3033,14
17131,Na22 Bi10 O32,0.0,208
17132,Ag8 H64 O36,2.2358,14
17133,Li2 Mn4 B4 O12,0.6812,9
17134,Li2 V4 Si4 O16,1.1360999999999999,1
17135,Fe10 O6 F14,1.287,6
17136,Na20 Bi8 P4 C16 O64,0.026800000000000157,1
17137,Mn1 Fe3 Sn2 P6 O24,0.07310000000000016,146
17138,Li8 Sn4 B8 O24,3.0463999999999998,1
17139,Fe10 O6 F14,1.3123999999999998,5
17140,Li4 Mn2 B4 O12,2.065,14
17141,Fe10 O6 F14,1.414,7
17142,Li8 Mn12 B12 O36,0.0,1
17143,V6 O12 F6,1.1421,2
17144,Fe10 O6 F14,1.3664,5
17145,Li6 Co4 Si4 O16,0.14669999999999983,7
17146,Fe6 O7 F5,0.20710000000000006,1
17147,Li11 V6 O5 F19,0.6721999999999999,1
17148,Ta4 Cr2 N2 O10,1.2699000000000003,4
17149,Li8 Mn12 B12 O36,0.0,1
17150,Mn6 O8 F4,0.0,1
17151,Co6 O2 F10,0.0,2
17152,Mn8 O12 F4,0.0,14
17153,Li4 Mn4 Si4 O16,1.1322000000000005,95
17154,Li4 Cr3 Fe3 O12,0.12799999999999967,2
17155,Fe6 O8 F4,0.0,58
17156,Li4 Mn4 P12 H8 O40,3.7991,14
17157,Fe10 O5 F15,1.3111,38
17158,Li7 Mn1 Ni3 P6 O24,0.0,146
17159,Li2 Cr2 P8 O24,3.0185,15
17160,Li2 Mn3 Cr1 O8,0.0,2
17161,Li8 Mn12 B12 O36,0.0,1
17162,Li12 Mn4 Si4 O20,0.2348999999999999,33
17163,Fe6 O6 F6,1.6065,1
17164,Li2 Mn4 B4 O12,0.012900000000000134,2
17165,Mn6 O7 F5,0.035700000000000065,1
17166,Na40 Cr8 O32,0.6587000000000001,61
17167,Li12 Cr4 P8 O32,2.8064,1
17168,Li6 Mn12 B12 O36,0.35740000000000016,1
17169,Li5 Mn10 B10 O30,0.05010000000000003,1
17170,Fe10 O4 F16,0.8138000000000001,1
17171,V1 Fe5 P6 O24,1.3117000000000003,146
17172,Cu3 Sn1,0.0,225
17173,Li4 Co8 O4 F12,2.3021000000000003,62
17174,Li8 Mn8 Si12 O36,3.0971,14
17175,Na14 V4 O12,0.5724999999999998,15
17176,Li8 Mn8 P8 O32,3.1179,33
17177,Mn12 O7 F17,0.39349999999999996,1
17178,Ta4 Cr2 N2 O10,1.4756000000000005,7
17179,Fe10 O9 F11,0.8041999999999998,6
17180,Li8 Fe8 P16 O56,1.7515,1
17181,Li4 Mn6 B6 O18,0.0,6
17182,Li12 Mn4 B8 S2 O32,1.6433999999999997,203
17183,Li8 Cr8 P8 O40,0.4313,4
17184,Li8 Mn12 B12 O36,0.0,8
17185,Li8 Mn12 B12 O36,0.0,8
17186,Li4 Cr4 P8 O28,1.9636999999999998,14
17187,Li8 Mn12 B12 O36,0.0,1
17188,Fe8 O4 F12,1.3410000000000002,12
17189,Fe4 O5 F3,0.06329999999999991,38
17190,Li2 Mn2 P6 H2 O20,0.8188,15
17191,Li24 Ni24 P24 O96,2.5716,169
17192,Sr8 La8 Cl40,3.3844,14
17193,Li9 Cr19 O48,0.3188,1
17194,Li8 V4 P8 O32,2.9619999999999997,19
17195,Mn6 O4 F8,0.0,65
17196,Ti7 Cr12 O48,0.8711000000000001,1
17197,Li1 La1 Nb2 O7,1.3900000000000001,119
17198,Li8 Mn8 P8 O32,3.0874,61
17199,Li4 Mn4 P4 O16,3.5114,14
17200,V12 Co4 O32,1.4267,4
17201,Li6 Mn3 Cr2 Fe3 O16,0.3721000000000001,1
17202,Th1 Cd1 Pt2,0.0,225
17203,La2 Ag1 Ir1,0.0,225
17204,Er2 Zn1 Tc1,0.0,225
17205,Li12 Mn8 P12 O48,0.0,230
17206,Li16 Mn8 P8 O40,0.7417000000000002,14
17207,Tm2 Mg1 Tc1,0.0,225
17208,La2 Zn1 Ir1,0.0,225
17209,Pr1 Nd1 O2,0.0,166
17210,Sc1 U1 Tc2,0.0,225
17211,Li3 Co13 O16,0.0,2
17212,C12 N16,1.1814999999999998,63
17213,Nd2 Ni4 Bi4,0.0,129
17214,Nd3 Hg1,0.0,139
17215,Ni6 As2,0.0,194
17216,Tm2 Cu1 Tc1,0.0,225
17217,Sm2 Bi6,0.0,194
17218,Sn2 H8,0.0,11
17219,Yb3 Na1,0.0,225
17220,Zn3 Cd1,0.0,139
17221,Yb2 Sm6,0.0,194
17222,Pr1 Ge5,0.0,71
17223,Ac1 Er3,0.0,221
17224,Rb2 Al1 In1 H6,0.1400999999999999,225
17225,Ba1 Zr1 Se3,0.2012999999999998,1
17226,K1 O3,0.842,44
17227,Ca1 La2 Mo1 O6,0.0,148
17228,Al10 Fe6 O24,1.1521,1
17229,La2 Zn1 Cr1 O6,0.0,148
17230,Y4 Ag4 O12,0.07339999999999991,62
17231,Ta4 O10,2.96,55
17232,Y2 Ti2 O6,0.0,194
17233,Sr2 Zn1 Ni2 P4 O16,0.0,1
17234,Ca1 La2 Bi1 O6,0.0,148
17235,La2 Zn1 Sn1 O6,3.0843999999999996,148
17236,Mg1 Sb1 F6,0.0,148
17237,Mg6 V4 O14,1.2109999999999999,36
17238,Mg6 Fe4 O14,0.0,36
17239,Mn4 Zn6 O14,0.48340000000000005,36
17240,Ge12 Te8 O48,2.0875000000000004,230
17241,Mg4 Ta2 Mo2 O12,2.0446,11
17242,Ca4 Ta2 W2 O12,2.2679,14
17243,Mn12 Zn6 O24,0.0,1
17244,Ca4 Ag4 As4 O20,0.6075999999999999,4
17245,Mg2 Cr4 O14,2.4303,4
17246,K1 Na1 I1 Cl1,4.0086,123
17247,Mg7 Zr1,0.0,187
17248,Mg7 Cu1,0.0,187
17249,Mg6 Cd1 Bi1,0.0,38
17250,Er1 H3,0.0,225
17251,Li1 Mg6 Cu1,0.0,38
17252,Li1 Mg6 Cu1,0.0,38
17253,Mg6 Zr1 Cd1,0.0,38
